"REF_DATE","GEO","DGUID","Traveller characteristics","Traveller type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-03","New Brunswick","2016A000213","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296962736","33.41.2","72955","","p","","0"
"2025-03","New Brunswick","2016A000213","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296962737","33.41.3","35412","","p","","0"
"2025-03","New Brunswick","2016A000213","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296962738","33.42.1","98154","","p","","0"
"2025-03","New Brunswick","2016A000213","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296962739","33.42.2","72908","","p","","0"
"2025-03","New Brunswick","2016A000213","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296962740","33.42.3","25246","","p","","0"
"2025-03","Acadian Coastal","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296962970","34.41.1","10","","p","","0"
"2025-03","Acadian Coastal","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296962971","34.41.2","6","","p","","0"
"2025-03","Acadian Coastal","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296962972","34.41.3","4","","p","","0"
"2025-03","Acadian Coastal","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296962973","34.42.1","10","","p","","0"
"2025-03","Acadian Coastal","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296962974","34.42.2","6","","p","","0"
"2025-03","Acadian Coastal","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296962975","34.42.3","4","","p","","0"
"2025-03","Bathurst","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296963205","35.41.1","10","","p","","0"
"2025-03","Bathurst","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296963206","35.41.2","6","","p","","0"
